"confirmedCount","confirmedIncr","curedCount","curedIncr","currentConfirmedCount","currentConfirmedIncr","dateId","deadCount","deadIncr"
2,2,0,0,2,2,20200121,0,0
3,1,0,0,3,1,20200122,0,0
7,4,0,0,7,4,20200123,0,0
18,11,0,0,18,11,20200124,0,0
36,18,0,0,36,18,20200125,0,0
48,12,0,0,48,12,20200126,0,0
72,24,2,2,70,22,20200127,0,0
109,37,3,1,106,36,20200128,0,0
162,53,3,0,159,53,20200129,0,0
240,78,7,4,233,74,20200130,0,0
286,46,9,2,277,44,20200131,0,0
333,47,10,1,323,46,20200201,0,0
391,58,18,8,373,50,20200202,0,0
476,85,19,1,457,84,20200203,0,0
548,72,27,8,521,64,20200204,0,0
600,52,37,10,563,42,20200205,0,0
661,61,45,8,616,53,20200206,0,0
698,37,55,10,643,27,20200207,0,0
740,42,72,17,668,25,20200208,0,0
771,31,102,30,668,0,20200209,1,1
804,33,127,25,676,8,20200210,1,0
844,40,152,25,691,15,20200211,1,0
872,28,170,18,701,10,20200212,1,0
900,28,187,17,712,11,20200213,1,0
913,13,210,23,702,-10,20200214,1,0
925,12,239,29,685,-17,20200215,1,0
930,5,275,36,654,-31,20200216,1,0
933,3,310,35,622,-32,20200217,1,0
934,1,362,52,571,-51,20200218,1,0
934,0,432,70,501,-70,20200219,1,0
934,0,489,57,444,-57,20200220,1,0
934,0,544,55,389,-55,20200221,1,0
934,0,611,67,322,-67,20200222,1,0
934,0,645,34,288,-34,20200223,1,0
934,0,682,37,251,-37,20200224,1,0
934,0,719,37,214,-37,20200225,1,0
934,0,754,35,179,-35,20200226,1,0
935,1,790,36,144,-35,20200227,1,0
935,0,811,21,123,-21,20200228,1,0
935,0,831,20,103,-20,20200229,1,0
935,0,850,19,84,-19,20200301,1,0
935,0,870,20,64,-20,20200302,1,0
935,0,884,14,50,-14,20200303,1,0
935,0,901,17,33,-17,20200304,1,0
935,0,908,7,26,-7,20200305,1,0
935,0,916,8,18,-8,20200306,1,0
935,0,918,2,16,-2,20200307,1,0
935,0,923,5,11,-5,20200308,1,0
935,0,927,4,7,-4,20200309,1,0
935,0,932,5,2,-5,20200310,1,0
935,0,934,2,0,-2,20200311,1,0
935,0,934,0,0,0,20200312,1,0
935,0,934,0,0,0,20200313,1,0
935,0,934,0,0,0,20200314,1,0
935,0,934,0,0,0,20200315,1,0
935,0,934,0,0,0,20200316,1,0
935,0,934,0,0,0,20200317,1,0
935,0,934,0,0,0,20200318,1,0
935,0,934,0,0,0,20200319,1,0
935,0,934,0,0,0,20200320,1,0
936,1,934,0,1,1,20200321,1,0
936,0,934,0,1,0,20200322,1,0
936,0,934,0,1,0,20200323,1,0
936,0,934,0,1,0,20200324,1,0
936,0,934,0,1,0,20200325,1,0
936,0,934,0,1,0,20200326,1,0
936,0,934,0,1,0,20200327,1,0
937,1,934,0,2,1,20200328,1,0
937,0,935,1,1,-1,20200329,1,0
937,0,935,0,1,0,20200330,1,0
937,0,935,0,1,0,20200331,1,0
937,0,935,0,1,0,20200401,1,0
937,0,935,0,1,0,20200404,1,0
937,0,935,0,1,0,20200405,1,0
937,0,935,0,1,0,20200406,1,0
